priority,opportunity,cluster,current_url,recommended_asset,route_status,source_signal,next_action,ugc_angle,ugc_voice,ugc_hook,ugc_script,ugc_reference_video,freshness_note,score
P1,ai search optimization for startups,startup_geo_strategy,,Create /startup-ai-search-guide,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create startup-focused guide with budget-friendly AI search optimization strategies.,Startups can win in AI search before traditional SEO catches up.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","Nobody warned me ""ai search optimization for startups"" was a different game than classic SEO. So I built the weekly fix list anyway.","Nobody warned me ""ai search optimization for startups"" was a different game than classic SEO. So I built the weekly fix list anyway. If a keyword can't become one tactical paragraph your team can publish this week, I don't want it in the workflow. CiteLens compresses that gap into one copy-ready move: Create startup-focused guide with budget-friendly AI search optimization strategies. Not more charts — one execution. Demo's live — roast it. If the task brief feels real, I build live audits next. If it's fluff, I kill it.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",80
P1,claude citations for my website,claude_citations,,Create /claude-citation-guide,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create Claude citation guide covering Anthropic's citation patterns and optimization.,Claude is citing my competitors but my content is better.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","Stop. If you're only watching Google for ""claude citations for my website"", you're auditing the wrong surface — AI already decided.","Stop. If you're only watching Google for ""claude citations for my website"", you're auditing the wrong surface — AI already decided. If a keyword can't become one tactical paragraph your team can publish this week, I don't want it in the workflow. CiteLens compresses that gap into one copy-ready move: Create Claude citation guide covering Anthropic's citation patterns and optimization. Not more charts — one execution. Honest ask: is this a weekly habit or a one-time novelty? I need the brutal answer.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",80
P1,google gemini ai citations,gemini_citations,,Create /gemini-citation-tracker,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create guide on Gemini citations and how to position content for Google's AI overview system.,Google's AI is skipping my site for competitors.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","POV: you finally searched ""google gemini ai citations""… and realized AI answers don't cite you. That sting is the whole point.","POV: you finally searched ""google gemini ai citations""… and realized AI answers don't cite you. That sting is the whole point. Here's what bugs me about most GEO tools — they stop at a score. Cool chart. Zero shipped copy. CiteLens compresses that gap into one copy-ready move: Create guide on Gemini citations and how to position content for Google's AI overview system. Not more charts — one execution. Try it once this week. If you wouldn't open it again on Monday, tell me and I'll delete the feature.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",80
P1,llm visibility tracking,llm_monitoring,,Create /llm-visibility-tracker,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,"Create page covering LLM model differences, tracking across multiple models, and optimization strategies.","I needed to track visibility across all LLMs, not just Google.","TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","Stop. If you're only watching Google for ""llm visibility tracking"", you're auditing the wrong surface — AI already decided.","Stop. If you're only watching Google for ""llm visibility tracking"", you're auditing the wrong surface — AI already decided. Here's what bugs me about most GEO tools — they stop at a score. Cool chart. Zero shipped copy. CiteLens compresses that gap into one copy-ready move: Create page covering LLM model differences, tracking across multiple models, and optimization strategies. Not more charts — one execution. Honest ask: is this a weekly habit or a one-time novelty? I need the brutal answer.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",80
P1,monitor ai answers for brand mentions,mention_monitoring,,Create /ai-answer-monitor,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Build alert/monitoring guide showing how CiteLens can track mentions over time.,I want to know every time an AI mentions my brand.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","POV: you finally searched ""monitor ai answers for brand mentions""… and realized AI answers don't cite you. That sting is the whole point.","POV: you finally searched ""monitor ai answers for brand mentions""… and realized AI answers don't cite you. That sting is the whole point. If a keyword can't become one tactical paragraph your team can publish this week, I don't want it in the workflow. CiteLens compresses that gap into one copy-ready move: Build alert/monitoring guide showing how CiteLens can track mentions over time. Not more charts — one execution. Try it once this week. If you wouldn't open it again on Monday, tell me and I'll delete the feature.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",80
P1,perplexity citations for my company,perplexity_citations,,Create /perplexity-citation-tracker,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create Perplexity-specific guide covering their citation display and how to optimize for it.,Perplexity is citing my competitors but not me.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","POV: you finally searched ""perplexity citations for my company""… and realized AI answers don't cite you. That sting is the whole point.","POV: you finally searched ""perplexity citations for my company""… and realized AI answers don't cite you. That sting is the whole point. If a keyword can't become one tactical paragraph your team can publish this week, I don't want it in the workflow. CiteLens compresses that gap into one copy-ready move: Create Perplexity-specific guide covering their citation display and how to optimize for it. Not more charts — one execution. Try it once this week. If you wouldn't open it again on Monday, tell me and I'll delete the feature.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",80
P1,ai seo geo tool,ai_seo_platform,https://citelens.app/,Refresh /,"Existing route, copy gap",Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Ensure homepage hero copy explicitly says 'AI SEO tool' and 'GEO platform' and differentiates from traditional SEO.,AI SEO is completely different from traditional SEO.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","POV: you finally searched ""ai seo geo tool""… and realized AI answers don't cite you. That sting is the whole point.","POV: you finally searched ""ai seo geo tool""… and realized AI answers don't cite you. That sting is the whole point. I'm not hunting vanity metrics. I want a queue: one citation gap, one paragraph you can paste into the page. CiteLens compresses that gap into one copy-ready move: Ensure homepage hero copy explicitly says 'AI SEO tool' and 'GEO platform' and differentiates from traditional SEO. Not more charts — one execution. Try it once this week. If you wouldn't open it again on Monday, tell me and I'll delete the feature.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",74
P2,how do i get chatgpt to cite my website,chatgpt_citations,https://citelens.app/chatgpt-citation-guide,Monitor /chatgpt-citation-guide,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create guide showing how websites appear in ChatGPT citations and factors that increase visibility.,I never knew ChatGPT could cite my website.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","POV: you finally searched ""how do i get chatgpt to cite my website""… and realized AI answers don't cite you. That sting is the whole point.","POV: you finally searched ""how do i get chatgpt to cite my website""… and realized AI answers don't cite you. That sting is the whole point. I'm not hunting vanity metrics. I want a queue: one citation gap, one paragraph you can paste into the page. CiteLens compresses that gap into one copy-ready move: Create guide showing how websites appear in ChatGPT citations and factors that increase visibility. Not more charts — one execution. Try it once this week. If you wouldn't open it again on Monday, tell me and I'll delete the feature.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",70
P2,track brand visibility in ai search,ai_brand_tracking,https://citelens.app/ai-brand-visibility-tracker,Monitor /ai-brand-visibility-tracker,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,"Build tracker dashboard showing brand mentions in ChatGPT, Claude, Perplexity, and Gemini.",I started tracking where my brand appears in AI answers.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","POV: you finally searched ""track brand visibility in ai search""… and realized AI answers don't cite you. That sting is the whole point.","POV: you finally searched ""track brand visibility in ai search""… and realized AI answers don't cite you. That sting is the whole point. Here's what bugs me about most GEO tools — they stop at a score. Cool chart. Zero shipped copy. CiteLens compresses that gap into one copy-ready move: Build tracker dashboard showing brand mentions in ChatGPT, Claude, Perplexity, and Gemini. Not more charts — one execution. Try it once this week. If you wouldn't open it again on Monday, tell me and I'll delete the feature.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",70
P2,why doesn't chatgpt mention my brand,brand_gap_diagnosis,https://citelens.app/ai-brand-gap-analysis,Monitor /ai-brand-gap-analysis,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create diagnostic page helping users understand why their brand isn't cited and how to fix it.,My brand isn't appearing in AI answers and I don't know why.,"TikTok creator ad read — punchy hook, raw founder energy, micro-pauses between beats, like a one-take vertical video","Stop. If you're only watching Google for ""why doesn't chatgpt mention my brand"", you're auditing the wrong surface — AI already decided.","Stop. If you're only watching Google for ""why doesn't chatgpt mention my brand"", you're auditing the wrong surface — AI already decided. Here's what bugs me about most GEO tools — they stop at a score. Cool chart. Zero shipped copy. CiteLens compresses that gap into one copy-ready move: Create diagnostic page helping users understand why their brand isn't cited and how to fix it. Not more charts — one execution. Honest ask: is this a weekly habit or a one-time novelty? I need the brutal answer.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-05-22. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",70
