priority,opportunity,cluster,current_url,recommended_asset,route_status,source_signal,next_action,ugc_angle,ugc_voice,ugc_hook,ugc_script,ugc_reference_video,freshness_note,score
P1,ai seo geo tool,ai_seo_platform,https://www.citelens.app/,Refresh /,"Existing route, copy gap",Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Ensure homepage hero copy explicitly says 'AI SEO tool' and 'GEO platform' and differentiates from traditional SEO.,AI SEO is completely different from traditional SEO.,founder MVP validation voice from citelens-score-reveal.mp4,"This is an MVP check, not a launch claim: ai seo geo tool.","This is an MVP check, not a launch claim: ai seo geo tool. We track whether this turns into a real execution queue, not vanity metrics. CiteLens turns that AI visibility gap into one copy-ready action: Ensure homepage hero copy explicitly says 'AI SEO tool' and 'GEO platform' and differentiates from traditional SEO. Not another analytics dashboard. If this feels useful, I build the live audit next. If it feels fake, I cut it.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",74
P1,llm visibility tracking,llm_monitoring,https://www.citelens.app/llm-visibility-tracker,Refresh /llm-visibility-tracker,"Existing route, copy gap",Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,"Create page covering LLM model differences, tracking across multiple models, and optimization strategies.","I needed to track visibility across all LLMs, not just Google.",founder MVP validation voice from citelens-score-reveal.mp4,I don't want another dashboard. I want to know if llm visibility tracking is painful enough to fix weekly.,"I don't want another dashboard. I want to know if llm visibility tracking is painful enough to fix weekly. The point isn't a prettier dashboard. The point is copy-ready work your team can ship. CiteLens turns that AI visibility gap into one copy-ready action: Create page covering LLM model differences, tracking across multiple models, and optimization strategies. Not another analytics dashboard. Try the demo and tell me if this is a real weekly pain or just a neat chart.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",74
P2,how do i get chatgpt to cite my website,chatgpt_citations,https://www.citelens.app/chatgpt-citation-guide,Monitor /chatgpt-citation-guide,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create guide showing how websites appear in ChatGPT citations and factors that increase visibility.,I never knew ChatGPT could cite my website.,founder MVP validation voice from citelens-score-reveal.mp4,"This is an MVP check, not a launch claim: how do i get chatgpt to cite my website.","This is an MVP check, not a launch claim: how do i get chatgpt to cite my website. We track whether this turns into a real execution queue, not vanity metrics. CiteLens turns that AI visibility gap into one copy-ready action: Create guide showing how websites appear in ChatGPT citations and factors that increase visibility. Not another analytics dashboard. If this feels useful, I build the live audit next. If it feels fake, I cut it.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",70
P2,track brand visibility in ai search,ai_brand_tracking,https://www.citelens.app/ai-brand-visibility-tracker,Monitor /ai-brand-visibility-tracker,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,"Build tracker dashboard showing brand mentions in ChatGPT, Claude, Perplexity, and Gemini.",I started tracking where my brand appears in AI answers.,founder MVP validation voice from citelens-score-reveal.mp4,"This is an MVP check, not a launch claim: track brand visibility in ai search.","This is an MVP check, not a launch claim: track brand visibility in ai search. The point isn't a prettier dashboard. The point is copy-ready work your team can ship. CiteLens turns that AI visibility gap into one copy-ready action: Build tracker dashboard showing brand mentions in ChatGPT, Claude, Perplexity, and Gemini. Not another analytics dashboard. If this feels useful, I build the live audit next. If it feels fake, I cut it.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",70
P2,why doesn't chatgpt mention my brand,brand_gap_diagnosis,https://www.citelens.app/ai-brand-gap-analysis,Monitor /ai-brand-gap-analysis,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create diagnostic page helping users understand why their brand isn't cited and how to fix it.,My brand isn't appearing in AI answers and I don't know why.,founder MVP validation voice from citelens-score-reveal.mp4,I don't want another dashboard. I want to know if why doesn't chatgpt mention my brand is painful enough to fix weekly.,I don't want another dashboard. I want to know if why doesn't chatgpt mention my brand is painful enough to fix weekly. The point isn't a prettier dashboard. The point is copy-ready work your team can ship. CiteLens turns that AI visibility gap into one copy-ready action: Create diagnostic page helping users understand why their brand isn't cited and how to fix it. Not another analytics dashboard. Try the demo and tell me if this is a real weekly pain or just a neat chart.,citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",70
P2,ai search optimization for startups,startup_geo_strategy,https://www.citelens.app/startup-ai-search-guide,Monitor /startup-ai-search-guide,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create startup-focused guide with budget-friendly AI search optimization strategies.,Startups can win in AI search before traditional SEO catches up.,founder MVP validation voice from citelens-score-reveal.mp4,I'm testing one thing: does ai search optimization for startups turn into a real CiteLens task?,"I'm testing one thing: does ai search optimization for startups turn into a real CiteLens task? If a keyword cannot produce a practical next move, it doesn't belong in the workflow. CiteLens turns that AI visibility gap into one copy-ready action: Create startup-focused guide with budget-friendly AI search optimization strategies. Not another analytics dashboard. The question is simple: would you use this every week, or ignore it after one look?",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",62
P2,claude citations for my website,claude_citations,https://www.citelens.app/claude-citation-guide,Monitor /claude-citation-guide,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create Claude citation guide covering Anthropic's citation patterns and optimization.,Claude is citing my competitors but my content is better.,founder MVP validation voice from citelens-score-reveal.mp4,I don't want another dashboard. I want to know if claude citations for my website is painful enough to fix weekly.,"I don't want another dashboard. I want to know if claude citations for my website is painful enough to fix weekly. If a keyword cannot produce a practical next move, it doesn't belong in the workflow. CiteLens turns that AI visibility gap into one copy-ready action: Create Claude citation guide covering Anthropic's citation patterns and optimization. Not another analytics dashboard. Try the demo and tell me if this is a real weekly pain or just a neat chart.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",62
P2,google gemini ai citations,gemini_citations,https://www.citelens.app/gemini-citation-tracker,Monitor /gemini-citation-tracker,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create guide on Gemini citations and how to position content for Google's AI overview system.,Google's AI is skipping my site for competitors.,founder MVP validation voice from citelens-score-reveal.mp4,"This is an MVP check, not a launch claim: google gemini ai citations.","This is an MVP check, not a launch claim: google gemini ai citations. The point isn't a prettier dashboard. The point is copy-ready work your team can ship. CiteLens turns that AI visibility gap into one copy-ready action: Create guide on Gemini citations and how to position content for Google's AI overview system. Not another analytics dashboard. If this feels useful, I build the live audit next. If it feels fake, I cut it.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",62
P2,monitor ai answers for brand mentions,mention_monitoring,https://www.citelens.app/ai-answer-monitor,Monitor /ai-answer-monitor,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Build alert/monitoring guide showing how CiteLens can track mentions over time.,I want to know every time an AI mentions my brand.,founder MVP validation voice from citelens-score-reveal.mp4,"This is an MVP check, not a launch claim: monitor ai answers for brand mentions.","This is an MVP check, not a launch claim: monitor ai answers for brand mentions. If a keyword cannot produce a practical next move, it doesn't belong in the workflow. CiteLens turns that AI visibility gap into one copy-ready action: Build alert/monitoring guide showing how CiteLens can track mentions over time. Not another analytics dashboard. If this feels useful, I build the live audit next. If it feels fake, I cut it.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",62
P2,perplexity citations for my company,perplexity_citations,https://www.citelens.app/perplexity-citation-tracker,Monitor /perplexity-citation-tracker,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create Perplexity-specific guide covering their citation display and how to optimize for it.,Perplexity is citing my competitors but not me.,founder MVP validation voice from citelens-score-reveal.mp4,"This is an MVP check, not a launch claim: perplexity citations for my company.","This is an MVP check, not a launch claim: perplexity citations for my company. If a keyword cannot produce a practical next move, it doesn't belong in the workflow. CiteLens turns that AI visibility gap into one copy-ready action: Create Perplexity-specific guide covering their citation display and how to optimize for it. Not another analytics dashboard. If this feels useful, I build the live audit next. If it feels fake, I cut it.",citelens-score-reveal.mp4,"Freshness Warning: opportunity inputs are the same source inputs as 2026-06-26. UGC scripts were re-voiced in the citelens-score-reveal.mp4 style, but keyword/source data should be refreshed before treating this as new intel.",62
