priority,opportunity,cluster,current_url,recommended_asset,route_status,source_signal,next_action,ugc_angle,score
P1,ai search optimization for startups,startup_geo_strategy,,Create /startup-ai-search-guide,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create startup-focused guide with budget-friendly AI search optimization strategies.,Startups can win in AI search before traditional SEO catches up.,80
P1,claude citations for my website,claude_citations,,Create /claude-citation-guide,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create Claude citation guide covering Anthropic's citation patterns and optimization.,Claude is citing my competitors but my content is better.,80
P1,google gemini ai citations,gemini_citations,,Create /gemini-citation-tracker,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create guide on Gemini citations and how to position content for Google's AI overview system.,Google's AI is skipping my site for competitors.,80
P1,llm visibility tracking,llm_monitoring,,Create /llm-visibility-tracker,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,"Create page covering LLM model differences, tracking across multiple models, and optimization strategies.","I needed to track visibility across all LLMs, not just Google.",80
P1,monitor ai answers for brand mentions,mention_monitoring,,Create /ai-answer-monitor,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Build alert/monitoring guide showing how CiteLens can track mentions over time.,I want to know every time an AI mentions my brand.,80
P1,perplexity citations for my company,perplexity_citations,,Create /perplexity-citation-tracker,Missing exact-fit route,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create Perplexity-specific guide covering their citation display and how to optimize for it.,Perplexity is citing my competitors but not me.,80
P1,ai seo geo tool,ai_seo_platform,https://citelens.app/,Refresh /,"Existing route, copy gap",Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Ensure homepage hero copy explicitly says 'AI SEO tool' and 'GEO platform' and differentiates from traditional SEO.,AI SEO is completely different from traditional SEO.,74
P2,how do i get chatgpt to cite my website,chatgpt_citations,https://citelens.app/chatgpt-citation-guide,Monitor /chatgpt-citation-guide,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create guide showing how websites appear in ChatGPT citations and factors that increase visibility.,I never knew ChatGPT could cite my website.,70
P2,track brand visibility in ai search,ai_brand_tracking,https://citelens.app/ai-brand-visibility-tracker,Monitor /ai-brand-visibility-tracker,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,"Build tracker dashboard showing brand mentions in ChatGPT, Claude, Perplexity, and Gemini.",I started tracking where my brand appears in AI answers.,70
P2,why doesn't chatgpt mention my brand,brand_gap_diagnosis,https://citelens.app/ai-brand-gap-analysis,Monitor /ai-brand-gap-analysis,Existing route covers exact keyword,Seed keyword from CiteLens AI visibility targets; no matching GSC row yet.,Create diagnostic page helping users understand why their brand isn't cited and how to fix it.,My brand isn't appearing in AI answers and I don't know why.,70
